"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1778407396361","13.0527540500736","13.2404897494305","14.8920470073791","15.5970763131814","16.2991240530303","17.6555078036643","17.4794700605049","16.1823933975241","13.0438634872019","11.5459016393443","12.3658407454468","10.0765434736167","10.7493344255581","10.7986789431545","12.4678921568627","12.7131248829807","12.3958265582656","11.4375610607118","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","28.7543447492486","30.2951610652592","29.2525909923955","27.1925568373975","27.8615207889291","28.4973706594271","28.4117453836268","28.1393410215081","28.0244210206047","26.8349132987362","29.2014750339305","28.091479696602","28.2561084388494","27.7679110287951","27.8406858233297","26.9061169671477","26.0253919433644","25.8764567565539","26.8910457934555","26.841570702493","27.4517825516871","26.7009390746153","27.0450235792806","28.003568001673","28.0766581088278","29.2458400484261","30.7197063196207","26.5519573605232","27.3399303874931","28.411371249923","28.1448245972786","27.7081811329275","26.9984500590285","24.8581079840584","24.5714368255021","24.6481865794004","26.9200303085244","26.4675488940291","25.6573447628509","25.8693647849268",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","14.0316990961127","15.589007985948",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","39.2856065392819","35.4723487296196","34.4847144123982","31.7102554107866","34.1420212800437","31.3303393161268","30.7058133860827","29.6386123457971","31.3357465868955","32.5683856468043","32.4602253991589","32.2017445321377","29.701762545468","30.6871750783603","32.7344267731115","32.287255672651","31.5825232619235","27.2233160734581","28.1728977548959","32.0947773805167","28.0718909318094","25.2976598990399","27.2639143421043","29.3324749402956","28.9066718120224","27.5059060192434","26.3513234519994","27.4147350265897","24.1057740796181","26.774060806954","29.6879011481609","29.0821075712396","28.2189324143068","26.8351933072806","22.5918072031328","21.0342609566699","24.1286561225001","26.4591269193709","27.1705484056428","26.9155848515527","28.8974301040394",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169977877105","54.6299332781384","60.4019934569532","58.109331166465","61.8835378515421","60.2548203971699","44.0563741288187","52.3684375791632","56.0265138898967","56.9182189644947","53.3628521772331","46.2033255675024","41.9330921928439","42.6435678702129","42.1679537698985","47.9315418514046","49.7609207439829","45.3745136246453","44.1161600994527",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3583670021185","21.2793061291073","20.6196288248697","20.0086089712787","21.8236781887437",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","57.3666218791951","59.2795940461708","57.5611473486394","53.5190657438466","59.2486127023165","64.9394599149601","62.2135833177719","53.4452580730174","46.0970047260137","43.5863517106028","40.5970431679831","34.7884206603539","35.6897680779275","36.3751052047117","38.2330091504903","56.3428259996944","39.4019480578417","42.2012155052698","39.6183179949932","39.2242267442724","41.1429685867338","43.0296986125711","44.0261620308839","39.5954572785246","43.5381565818794","49.5428375793616","46.8229099409352","46.7145579167288","47.3224077064982","49.3761700244047","53.0829162728897","54.4485747834727","53.1247931261408","55.6040413801426","46.8048678193167","49.2364604844238","54.0164074618488","54.6750980899019","52.5796020098813","49.8346087270458","40.473746845692","38.0460763043969","40.4638290196103","45.1912072118808","43.0594150120122","37.721228584109","42.54752075696",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5308618345897","58.0355996068253","56.5680617402564","54.2038149782479","51.9897136679655","43.3542449304817","41.0285717311933","42.5280347654664","46.9189575898931","44.5245160401163","42.1740430729015","47.4834807904157",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.1805729052757","23.5794730059849",
"Armenia","ARM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8270946139077","26.7090481417071","25.2705329463993","25.7086994351611","25.5771330395605","25.8095323791656","24.7565578476257","24.9716084573435","26.8172956979296","26.6414047046651",
"American Samoa","ASM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","11.5311018882105","10.3771694170806","11.5880623141682","13.0645125420129","13.3137815445152","10.4133582428273","10.2211517108379","10.9162325364122","11.7298494640686","12.9576021006585","13.8033586786209","14.2363271603704","15.2518015531413","13.9097350411504","14.5647042541577","13.4823375814133","12.7075302601438","12.5256054189235","12.6955205112083","12.2473072404986","12.513128037134","12.6586336389819","13.5116060983981","13.8907314449624","12.8825244066071","13.0460290245267","13.2713740177401","13.0533530385339","14.5184648805214","18.4522457441397","17.7409753276249","19.1239163168153","19.4609361101647","16.2041470390038","14.5307687799923","14.2854938176341","15.6822606280428","16.1886387614543","16.4579794794781","17.9383723748189","19.2206966499644","21.1069983049088","21.16303875479","21.1032607520488","21.8890041389311",
"Australia","AUS","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7743261808514","27.6479510762267","26.864624405548","26.8216146859207","26.7795491415946","26.4134389647689","25.961567547946","25.1981574768068","25.3625131529819","24.6139288174216","24.5738190165519","23.6532672415744","23.6226148559456","24.0526277759644","23.9461800328848","24.6308353316914","25.6314921153584","25.6833694146013","25.614826913895","27.0477720313242","25.1778159333812","26.5225045350299","26.3845042181717","25.1973643961788","25.5787418592678","23.6935141578446","22.3299254677721","23.4734721075625","24.1439568878264","25.3167424649892","25.4062827896948","25.5235123309295",
"Austria","AUT","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","33.9985945665537","33.6022058931724","33.8423827872164","32.9180389097137","32.9373057967936","32.5462613788216","31.766130895421","31.2968521757649","30.1146225743745","30.4474446523766","30.259284564499","29.7526220688057","29.5182647201743","29.2832194332994","29.560863303277","29.5052574059251","29.0158979502276","28.303768907107","28.4134001556217","28.851531988081","28.7520088650827","28.6763839380903","28.5106628527989","28.4285921580405","28.2848020340956","28.2087461435225","27.3880784820285","27.498379858473","27.3737678166123","27.0742425967636","27.2593708304078","27.5726388212438","26.9602141407645","25.7928458296062","25.5349942466396","25.4474320432043","25.6339685320435","25.5249417894219","25.3646396008814","25.174913250307","25.476804975952","25.4118677707583","25.3664293905671","25.1838597693066","25.7811412522824","25.8339686302555",
"Azerbaijan","AZE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0477489768076","29.6032934131737","36.536586377876","32.1487261146497","27.6519081932212","30.9963445496298","35.1496743028617","36.9914194345059","34.9561123059931","39.1035999046383","42.5383099128887","43.4626382722552","46.1542268041237","48.5398446792136","50.7690323790767","58.5242563385905","65.153471103477","66.1211896828335","65.710363453355","56.3585803968934","59.7713411044389","61.7328443608156","59.4557912599989","57.0544154549517","53.5868546669355","44.8913203383597","47.5578070076723","49.7017251037138","52.250536882585","48.8236328425495","41.9563201571824","48.4273248206665",
"Burundi","BDI","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","9.40435329180615","9.757409474907","10.7939653815164","11.6259017618486","12.1193843211534","12.5826855731207","11.7422871267673","12.1820399284065","14.3067317549249","14.7154336475697","11.6707379245525","12.7159338731537","14.2948788244325","14.4812136144171","12.5809208689103","11.8218760582459","12.1288474573801","15.7113530371091","14.8146929535943","17.2629184748477","17.3268756640774","17.5348516739186","18.9860061517847","20.1234127083025","19.5729092024609","16.8006722324595","11.7825921702775","13.8904315635939","14.6912847076462","16.1196105401845","15.5395706894248","15.5731910756723","15.8040004931229","15.7417123072253","16.3230191571129","16.9330035986109","15.3152912436064","17.1561942189062","15.415205278109","16.9195289638327","15.3861562777509","14.8096813161324","15.7508130170673","15.5848005138924","15.498211588581","11.7664286894227","12.2073630909389","10.9931308053063","11.1072170298745","10.9359800000001","10.74295","10.5993900000001",
"Belgium","BEL","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0458142488138","25.8108864229345","26.109865395814","25.5706853726919","24.7258443400042","24.9438325836543","24.3121509872514","23.7873363393069","23.2266548885812","22.9599989488568","22.5737781481988","22.139925542401","22.2819524770029","21.59544849636","20.600029785888","20.8945803561766","20.7778964049581","20.075240558224","19.8791997556506","19.6748264840511","19.6698883181098","19.2882202670028","19.2353624906499","18.9339307746014","19.25763352798","19.4818347710864","19.6200724809063",
"Benin","BEN","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","10.2269747245557","9.81330180282074","9.79130917171242","11.4694195815885","10.7934373721091","7.98184938137773","11.306612935673","11.4130625066297","10.8688139498865","11.0630654417435","11.7037494114915","13.4808042905619","13.8881251964887","14.2961258064227","17.0842249836147","16.1643290893295","12.9100343969082","12.5569870845307","14.0053645940617","13.3433454489017","12.2816697036432","12.9104044443482","15.1224192815258","15.3569747371469","17.0694521775889","16.702425147013","12.1078445244769","12.3655660113453","13.3946717230815","12.7680161414965","12.4533850515242","11.9826304214042","12.7276805044929","12.2171017970245","13.3380644179387","13.3923114111766","13.2669409931979","13.5207077594723","12.5664712925972","18.0457037967816","18.7563482119071","21.6063061308323","21.2560648162627","21.7653358858628","20.4994246078487","21.6135923867357","21.1570137776206","19.5111771844474","17.6606220766815","17.9195079292369","18.0090531395068","18.1374491115974","16.9566846878966","17.2437092893088","16.4115774866134","16.3850954444902","15.7020683118185","15.1075858507501","14.6419567509163","16.3125612015902","16.2907191907572","16.9910215873927",
"Burkina Faso","BFA","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","19.9138430386342","19.8945260581446","19.3676452476282","20.6236673558882","20.0814430026433","18.696338961347","19.0215650519734","22.0883134380454","22.7190982357839","22.44425758866","22.2505701596598","24.2440602064336","23.314259405822","26.2004978191128","22.9775219067396","25.9407461000063","26.4671785662136","21.3030958080609","21.4505263539173","20.6600047707038","19.8109302134947","18.7658580765374","18.844516802491","20.3573123203095","19.9661319195887","19.229575019983","20.7294866291817","22.5478843267088","21.5124048827824","22.1262334697078","20.3691495962921","19.2554872338296","20.2596766217691","19.8531100461198","20.4112031488612","19.9448893655573","18.4922177411329","19.6827849656377","17.855937461003","22.4646377615114","21.8707545475914","20.6389246484114","20.6338145094446","22.6250739908394","22.6591757180332","20.1658324331189","20.5038527918156","22.5483344043863","20.5479237002055","22.9558804915607","26.0555520336446","28.3722709055706","26.8675103794383","24.0957515828697","24.9295392471244","24.3613757844362","24.8815173666488","25.1402372200063","25.5894433780973","27.1474944991191","32.5913247969388","32.0090238120754",
"Bangladesh","BGD","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","6.97381556958263","6.79411774906471","7.96386176172682","7.80459286326724","10.4230244561503","10.723024748933","10.3150855684753","8.10282841164145","9.26234551475759","9.18640400926977","8.72908283074018","7.68383878031331","6.06410210550716","12.1103374893782","13.3727281578377","11.6110473057592","14.4492027919251","16.7290739025876","14.3097126896709","15.6864548108505","20.1166762234798","19.8059719535783","20.04288227039","20.8716248676477","21.4305495950497","20.3216634239062","20.3790141468201","19.6008172704812","19.9362085702399","19.7867069022062","20.1456258361335","21.1195045357667","21.71789053342","22.9342560517422","23.4699924276778","23.5808244521571","21.6839165728619","21.8626700944451","22.6607423702209","22.3758655367007","22.2793826819325","22.5838118742213","22.8392543728467","22.4741487860882","22.7797200060528","23.2998442190711","24.0953205119221","24.5005410079343","24.7270013036793","25.2955721814431","24.9564767264585","25.0452996007551","25.309959389543","26.307070164309","26.3110467833576","26.8313948329541","31.0691513830358","31.2482919641603","31.9828135899766","32.8525458584669","32.9115608902719","33.3160943869001",
"Bulgaria","BGR","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","53.7734093288356","51.9383133223093","57.9105918036742","60.3197762170212","59.9534588533954","62.5314079023663","64.009783928561","61.4640048396854","60.9691981504808","59.3923070703804","51.2749335765555","39.7538688282977","39.0522908366534","32.689193710271","29.9467275494673","17.8892462590452","16.2131442034548","21.7750696879005","21.2891946716025","22.3384390712016","22.6775829799096","23.9808817257269","24.0045118230475","24.3194023807744","23.1334052420728","24.2323985840088","25.370402523961","26.2601834036365","24.9905785476636","26.5673405144322","23.7573248967112","25.030678175602","25.3828196327453","23.5107977911967","23.4435738976145","24.0225310883942","24.449247252538","23.9758286109973","22.4046812030888","21.685086404092","21.8138156951281","20.8462047934885",
"Bahrain","BHR","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","59.0881616440722","57.8034972007056","52.8815144441202","48.1913984619766","49.0091930541369","48.452406962348","43.5236124422759","44.0258384840708","42.0183679333381","42.4886900254698","45.7345824949698","39.8643774845883","37.2114979847738","37.9449803099269","37.4249671622735","39.9476420818242","","","","","","","","","","","45.2834880040933","45.9178652906561","50.4076629462208","43.0997000499723","44.975946893886","49.5171903881701","47.5490713335536","47.9453756649045","46.5197733272369","40.1538667105209","39.3054656012409","41.176805761523","42.8605583093433","42.0803295106729","40.2534802742994","44.8034024127337",
"Bahamas, The","BHS","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3660026126715","14.2042956411876","15.6992247264686","15.4172724348665","13.0898771021992","14.5829088677508","13.764887722368","14.0376281518426","12.7093216431157","12.677771241084","11.6061307648359","12.1488719700562","9.53614103678483","10.6168563566021","10.870239197122","10.3431253996283","10.8090522762856","11.7337529813863","9.25945110064285","10.3895116853506","10.0100581448934","11.4998771761611","12.0451419747876","13.0339070006063","12.8327716135873","13.1405409758324","11.0277442905437","12.0325148293985","13.1279536479575","12.2164035183995","12.0778000121278","12.0294860559823","11.2922220437878",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8552890287063","25.6999990691539","25.6999991174593","25.2176237420683","27.4301795819969","24.3568468974682","21.5373916859689","20.9376174163641","19.8153865976587","19.8200801927973","20.2334920339996","21.4328391329964","21.0300824020691","21.7724374056523","23.2014104320358","22.9076469417103","22.4540096321725","22.1932597066813","21.6232008180939","22.3236757020136","22.156369823245","22.6264069126094","23.2461498511234","24.0022867496753","24.5234421550422","23.9642538286194","24.5543105160336","25.5254748031173",
